Title,Society,Area_marla,Price_clean,Price_per_marla,Price_per_marla_formatted,Bedrooms,Bathrooms,Date_Posted_clean
10 Marla Full House For Sale Prime Location Faisal Town C Block,Faisal Town - Block C,10.0,41000000.0,4100000.0,41.00 Lakh,4,5,2025-07-25
One Kanal Ultra Classic Architect Designer House For Sale In Bahria Town Lahore,Bahria Town - Janiper Block,20.0,87500000.0,4375000.0,43.75 Lakh,5,7,2025-07-25
10 Marla Ultra Advance Modern Smart Features Designer Brand New House Available For Sale Meeting With Direct Owner,Bahria Town - Block DD,10.0,39900000.0,3990000.0,39.90 Lakh,5,6,2025-07-25
DHA Phase 6 Block L,DHA Phase 6 - Block L,20.0,170000000.0,8500000.0,85.00 Lakh,7,7,2025-07-25
Super Luxury Brand New 5 Marla - Facing Park,Palm City,5.0,18800000.0,3760000.0,37.60 Lakh,3,4,2025-07-25
5 Marla Good Condition Solid Construction House For Sale inD Block Phase 5 DHA Lahore,DHA Phase 5 - Block D,5.0,29900000.000000004,5980000.000000001,59.80 Lakh,3,3,2025-07-25
5 Marla Modern Design House For Sale In DHA phase 6,DHA Phase 6 - Block D,5.0,24900000.000000004,4980000.000000001,49.80 Lakh,3,4,2025-07-25
5 Marla Brand New Lavish House For Sale in C Block Phase 9 Town DHA Lahore,DHA 9 Town - Block C,5.0,22900000.0,4580000.0,45.80 Lakh,3,3,2025-07-25
100% Original AD 5 Marla Modern Design House For Sale,DHA 9 Town - Block A,5.0,20500000.0,4100000.0,41.00 Lakh,3,4,2025-07-25
5 Marla Modern Design House For Sale In DHA Phase 3,DHA Phase 3 - Block Z,5.0,28900000.0,5780000.0,57.80 Lakh,3,4,2025-07-25
5 Marla Modern Design House For Sale In DHA Phase 5,DHA Phase 5 - Block B,5.0,28000000.0,5600000.0,56.00 Lakh,3,4,2025-07-25
5 Marla Perfect Location And Good Condition House For Sale In JJ Block Phase 4 DHA Lahore,DHA Phase 4 - Block JJ,5.0,19900000.0,3980000.0,39.80 Lakh,3,3,2025-07-25
"Brand New 1-Kanal Masterfully Designed Bungalow In DHA Phase 7 Block T With 5 Ensuite Bedrooms, Designer Finishes, Wide Green Lawn, Modern Kitchen, Servant Quarter & Direct Access To The 150 Ft Road Perfect Home, Perfect Location",DHA Phase 7,20.0,70000000.0,3500000.0,35.00 Lakh,5,6,2025-07-27
12 Marla Most Luxurious House For Sale In Lake City Block M3-A,Lake City - Sector M-3A,12.0,71500000.0,5958333.333333333,59.58 Lakh,5,7,2025-07-25
1 Kanal Slightly Used House For Sale in Lake City M-3 Block,Lake City - Sector M-3,20.0,74500000.0,3725000.0,37.25 Lakh,7,7,2025-07-25
"Modern 10 Marla Luxury House For Sale In DHA Phase 8 Style, Space & Sophistication",DHA Phase 8,10.0,49000000.0,4900000.0,49.00 Lakh,4,5,2025-07-25
One Kanal Used Modern Design Bungalow For Sale At Prime Location Of DHA Lahore Near To Park & Commercial Market,DHA Phase 4 - Block CC,20.0,72500000.0,3625000.0,36.25 Lakh,5,6,2025-07-25
Get A Prime Location 16 Marla House For sale In OPF Housing Scheme - Block C,OPF Housing Scheme - Block C,16.0,97500000.0,6093750.0,60.94 Lakh,7,6,2025-07-25
Luxury 10 Marla Triple Unit Spanish Villa 50% Down Payment 1-Year Easy Plan,Dream Gardens Phase 2,10.0,48000000.0,4800000.0,48.00 Lakh,5,7,2025-07-25
10 Marla Furnished Spanish House For Sale In Punjab Cooperative Housing Society Good Location Near DHA Phase 4,Punjab Coop Housing Society,10.0,57500000.0,5750000.0,57.50 Lakh,5,6,2025-07-25
One Kanal Beautiful Modern Bungalow Available For Sale In DHA Phase 7 Lahore,DHA Phase 7 - Block T,20.0,71500000.0,3575000.0,35.75 Lakh,5,6,2025-07-25
1 Kanal Modern Design House For Sale,DHA Phase 6 - Block E,20.0,84000000.0,4200000.0,42.00 Lakh,5,6,2025-07-25
Brand New 1 Kanal Modern House for Sale DHA Phase 5 Lahore,DHA Phase 5,20.0,80000000.0,4000000.0,40.00 Lakh,5,6,2025-07-25
BASEMENT! CALL US FOR VISIT THIS LUXURY PROPERTY.,DHA Phase 7,10.0,44900000.0,4490000.0,44.90 Lakh,4,6,2025-07-27
NEAR DOLMEN FURNISHED VILLA,DHA Phase 6,10.0,44500000.0,4450000.0,44.50 Lakh,5,7,2025-07-27
For Sale 10 Marla House Good condition,Central Park - Block A,10.0,25000000.0,2500000.0,25.00 Lakh,6,7,2025-07-25
2 KANAL BEAUTIFUL BUNGALOW NEAR DHA CINEMA,DHA Phase 2,40.0,139500000.0,3487500.0,34.88 Lakh,6,7,2025-07-25
Independent Lavish House For Sale In Gulberg,Gulberg,2.0,10000000.0,5000000.0,50.00 Lakh,1,1,2025-07-25
5 Marla Ideally Location Good Condition Used House For Sale in XX Block Phase 3 DHA Lahore,DHA Phase 3 - Block XX,5.0,26900000.0,5380000.0,53.80 Lakh,3,3,2025-07-25
5 Marla Modern Design House For Sale,DHA 9 Town - Block B,5.0,18500000.0,3700000.0,37.00 Lakh,3,4,2025-07-25
5 MARLA BRAND NEW HOUSE ON IDEAL LOCATION OR WITH SOLID CONSTRUCTION AVAILABLE FOR SALE,New Lahore City,5.0,14500000.0,2900000.0,29.00 Lakh,3,4,2025-07-25
"100% Original Pictures Ready To Buy A Brand New House Near Park, Masjid, Gold Crest Mall 10 Marla In DHA Phase 5",DHA Phase 5,10.0,69000000.0,6900000.0,69.00 Lakh,4,4,2025-07-25
Prime Location 1 Kanal House For Sale In DHA Phase 7 Lahore By Haram Estate & Builders,DHA Phase 7,20.0,72500000.0,3625000.0,36.25 Lakh,5,6,2025-07-25
Prime Location 1 Kanal House For Sale In DHA Phase 8 Lahore By Haram Estate & Builders,DHA Phase 8,20.0,70000000.0,3500000.0,35.00 Lakh,5,6,2025-07-25
Modern Design 1 Kanal House For Sale In DHA Phase 8 Lahore By Haram Estate &Amp; Builders,DHA Phase 8,20.0,71500000.0,3575000.0,35.75 Lakh,5,6,2025-07-25
Prime Location 1 Kanal House For Sale in DHA Phase 6 Lahore by Haram Estate & Builders,DHA Phase 6,20.0,95000000.0,4750000.0,47.50 Lakh,5,6,2025-07-25
"Jasmine Block 10 Marla House For Sale - LDA Approved Nearby School, Mosque And All Commercial",Bahria Town - Jasmine Block,10.0,27500000.0,2750000.0,27.50 Lakh,5,6,2025-07-25
100% ORIGINAL PICTURES MOST BEAUTIFUL MODERN HOUSE FOR SALE,DHA Phase 7,20.0,75500000.0,3775000.0,37.75 Lakh,5,6,2025-07-27
1 Kanal Fully Furnished Modern Lavish Bungalow For Sale In Phase 6,DHA Phase 6,20.0,125000000.0,6250000.0,62.50 Lakh,5,6,2025-07-25
Specially For Doctors 100 Percent Original 22- Marla Corner Brand New bungalow For Sale at Top Location Near Mosque and  Defence Raya,DHA Phase 6,22.0,91100000.0,4140909.090909091,41.41 Lakh,5,6,2025-07-25
2 KANAL FURNISHED BUNGALOW WITHOUT COMMISSION WITH AFTER SALES SERVICES,DHA Phase 6,40.0,590000000.0,14750000.0,1.48 Cr,6,7,2025-07-25
44 MARLA SEMI COMMERCIAL HOUSE FOR SALE,Garden Town - Tipu Block,44.0,160000000.0,3636363.6363636362,36.36 Lakh,-,-,2025-07-25
BRAND NEW 1 KANAL FULLY FURNISED HOUSE FOR SALE IN DHA PHASE 6,DHA Phase 6 - Block J,20.0,160000000.0,8000000.0,80.00 Lakh,5,6,2025-07-25
1 KANAL 3 BEDROOM HOUSE FOR SALE IN DHA PHASE 6,DHA Phase 6,20.0,77500000.0,3875000.0,38.75 Lakh,3,4,2025-07-25
1 KANAL FULL HOUSE FOR SALE IN DHA PHASE 6 NEAR DOLMEN MALL,DHA Phase 6 - Block B,20.0,77500000.0,3875000.0,38.75 Lakh,3,4,2025-07-25
Buy 7 Marla House At Highly Affordable Price,Eden Palace Villas,7.0,25000000.0,3571428.5714285714,35.71 Lakh,4,5,2025-07-25
FULL BASEMENT HOME THEATRE BRAND NEW ULTRA MODERN HOUSE FOR SALE,DHA Phase 6 - Block B,20.0,112000000.0,5600000.0,56.00 Lakh,6,7,2025-07-25
Full Basement 1 Kanal Brand New A Plus Construction Modern Design Bungalow For Sale In DHA Phase 6 Lahore,DHA Phase 6 - Block J,20.0,86500000.0,4325000.0,43.25 Lakh,5,6,2025-07-25
3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,Park View City,10.0,31500000.0,3150000.0,31.50 Lakh,-,6,2025-07-27
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,Park View City,5.0,15000000.0,3000000.0,30.00 Lakh,4,5,2025-07-25
3 Years Installments Plan Brand New House For Sale In Park View City,Park View City,3.5,11000000.0,3142857.1428571427,31.43 Lakh,3,4,2025-07-25
One Kanal Slightly Used Just Like Brand New House With Solar In Reasonable Price,DHA Phase 6 - Block L,20.0,91500000.0,4575000.0,45.75 Lakh,5,6,2025-07-25
